series_name,date,value
T1,1979-01-01,1149.87
T1,1979-02-01,1053.8002
T1,1979-03-01,1388.8798
T1,1979-04-01,1783.3702
T1,1979-05-01,1921.0252
T1,1979-06-01,2704.9449
T1,1979-07-01,4184.4135
T1,1979-08-01,4148.3542
T1,1979-09-01,2620.7251
T1,1979-10-01,1650.3001
T1,1979-11-01,1115.9201
T1,1979-12-01,1370.6251
T1,1980-01-01,1096.315
T1,1980-02-01,978.46
T1,1980-03-01,1294.685
T1,1980-04-01,1480.4651
T1,1980-05-01,1748.8652
T1,1980-06-01,2216.9202
T1,1980-07-01,4690.5185
T1,1980-08-01,4682.8644
T1,1980-09-01,2459.5799
T1,1980-10-01,1484.4901
T1,1980-11-01,1028.9851
T1,1980-12-01,1109.3649
T1,1981-01-01,960.8751
T1,1981-02-01,896.3501
T1,1981-03-01,1118.6552
T1,1981-04-01,1619.995
T1,1981-05-01,1847.9949
T1,1981-06-01,2367.045
T1,1981-07-01,4991.1601
T1,1981-08-01,4772.9444
T1,1981-09-01,2894.6784
T1,1981-10-01,1860.4801
T1,1981-11-01,1185.1501
T1,1981-12-01,1313.6599
T1,1982-01-01,1160.9151
T1,1982-02-01,1061.5049
T1,1982-03-01,1301.77
T1,1982-04-01,1794.3798
T1,1982-05-01,2106.4551
T1,1982-06-01,2789.035
T1,1982-07-01,4917.8469
T1,1982-08-01,4994.4834
T1,1982-09-01,3016.7542
T1,1982-10-01,1941.5051
T1,1982-11-01,1234.135
T1,1982-12-01,1378.7202
T1,1983-01-01,1182.975
T1,1983-02-01,1081.66
T1,1983-03-01,1424.1101
T1,1983-04-01,1774.535
T1,1983-05-01,2115.4201
T1,1983-06-01,2804.8401
T1,1983-07-01,4849.4979
T1,1983-08-01,4937.4752
T1,1983-09-01,3074.2236
T1,1983-10-01,2063.4252
T1,1983-11-01,1297.3552
T1,1983-12-01,1350.7102
T1,1984-01-01,1224.3601
T1,1984-02-01,1165.8152
T1,1984-03-01,1409.33
T1,1984-04-01,2116.5499
T1,1984-05-01,2357.1351
T1,1984-06-01,2995.0702
T1,1984-07-01,5295.2121
T1,1984-08-01,4957.905
T1,1984-09-01,3321.9593
T1,1984-10-01,2221.1801
T1,1984-11-01,1345.9
T1,1984-12-01,1514.0151
T1,1985-01-01,1239.5502
T1,1985-02-01,1172.1599
T1,1985-03-01,1518.9752
T1,1985-04-01,1996.8751
T1,1985-05-01,2248.6851
T1,1985-06-01,3053.4402
T1,1985-07-01,5019.4534
T1,1985-08-01,5466.7801
T1,1985-09-01,3235.1677
T1,1985-10-01,2157.98
T1,1985-11-01,1379.7252
T1,1985-12-01,1728.04
T1,1986-01-01,1350.1099
T1,1986-02-01,1216.0149
T1,1986-03-01,1751.3252
T1,1986-04-01,1805.3201
T1,1986-05-01,2570.0249
T1,1986-06-01,3204.2402
T1,1986-07-01,5395.72
T1,1986-08-01,6078.8285
T1,1986-09-01,3587.0984
T1,1986-10-01,2285.195
T1,1986-11-01,1582.1899
T1,1986-12-01,1787.4298
T1,1987-01-01,1554.8701
T1,1987-02-01,1409.8649
T1,1987-03-01,1612.125
T1,1987-04-01,2286.2401
T1,1987-05-01,2913.7551
T1,1987-06-01,3645.9085
T1,1987-07-01,5956.7085
T1,1987-08-01,6326.975
T1,1987-09-01,3914.6602
T1,1987-10-01,2617.675
T1,1987-11-01,1675.165
T1,1987-12-01,2139.22
T1,1988-01-01,1715.4899
T1,1988-02-01,1663.5799
T1,1988-03-01,2053.6999
T1,1988-04-01,2354.9299
T1,1988-05-01,3038.5918
T1,1988-06-01,3470.6093
T1,1988-07-01,6606.1834
T1,1988-08-01,6587.6369
T1,1988-09-01,4133.7828
T1,1988-10-01,2960.0243
T1,1988-11-01,1762.5849
T1,1988-12-01,2125.6402
T1,1989-01-01,1815.9151
T1,1989-02-01,1632.315
T1,1989-03-01,2210.395
T1,1989-04-01,2210.215
T1,1989-05-01,3099.2694
T1,1989-06-01,3468.7778
T1,1989-07-01,6482.9252
T1,1989-08-01,6665.485
T1,1989-09-01,4006.3619
T1,1989-10-01,2882.3349
T1,1989-11-01,1775.2499
T1,1989-12-01,2171.6498
T1,1990-01-01,1796.475
T1,1990-02-01,1692.3498
T1,1990-03-01,1949.7851
T1,1990-04-01,2680.6301
T1,1990-05-01,2645.95
T1,1990-06-01,3414.7429
T1,1990-07-01,5772.8769
T1,1990-08-01,6053.7042
T1,1990-09-01,3878.1285
T1,1990-10-01,2806.5149
T1,1990-11-01,1735.5382
T1,1990-12-01,2128.92
T1,1991-01-01,1608.0142
T1,1991-02-01,1441.3301
T1,1991-03-01,2068.235
T1,1991-04-01,2207.6102
T1,1991-05-01,2918.41
T1,1991-06-01,3400.8178
T1,1991-07-01,6048.7421
T1,1991-08-01,6483.14
T1,1991-09-01,4063.5027
T1,1991-10-01,2900.23
T1,1991-11-01,1907.095
T1,1991-12-01,2338.51
T1,1992-01-01,1787.1651
T1,1992-02-01,1699.6451
T1,1992-03-01,1979.1052
T1,1992-04-01,2824.26
T1,1992-05-01,3076.505
T1,1992-06-01,3402.585
T1,1992-07-01,5985.83
T1,1992-08-01,6611.115
T1,1992-09-01,4150.2395
T1,1992-10-01,2841.0
T1,1992-11-01,1813.44
T1,1992-12-01,2261.08
T1,1993-01-01,1873.605
T1,1993-02-01,1772.84
T1,1993-03-01,2049.565
T1,1993-04-01,2932.265
T1,1993-05-01,3113.255
T1,1993-06-01,3461.505
T1,1993-07-01,6265.74
T1,1993-08-01,6857.8
T1,1993-09-01,4346.09
T1,1993-10-01,3154.73
T1,1993-11-01,2142.21
T1,1993-12-01,2375.725
T1,1994-01-01,1981.11
T1,1994-02-01,1959.865
T1,1994-03-01,2466.31
T1,1994-04-01,2851.715
T1,1994-05-01,3671.805
T1,1994-06-01,3806.78
T1,1994-07-01,6995.05
T2,1979-01-01,65072.37
T2,1979-02-01,48612.2
T2,1979-03-01,58452.59
T2,1979-04-01,57033.97
T2,1979-05-01,71498.95
T2,1979-06-01,79187.11
T2,1979-07-01,101896.1
T2,1979-08-01,115971.8
T2,1979-09-01,94962.15
T2,1979-10-01,80648.33
T2,1979-11-01,64196.08
T2,1979-12-01,50364.86
T2,1980-01-01,57624.06
T2,1980-02-01,47163.87
T2,1980-03-01,48874.07
T2,1980-04-01,62737.61
T2,1980-05-01,69621.13
T2,1980-06-01,71454.22
T2,1980-07-01,107916.8
T2,1980-08-01,120461.5
T2,1980-09-01,99441.18
T2,1980-10-01,84936.54
T2,1980-11-01,62809.52
T2,1980-12-01,54028.48
T2,1981-01-01,58605.91
T2,1981-02-01,50516.34
T2,1981-03-01,55711.54
T2,1981-04-01,55798.41
T2,1981-05-01,65033.18
T2,1981-06-01,89421.14
T2,1981-07-01,119027.9
T2,1981-08-01,133411.3
T2,1981-09-01,112890.7
T2,1981-10-01,96718.14
T2,1981-11-01,76462.8
T2,1981-12-01,57951.68
T2,1982-01-01,62094.69
T2,1982-02-01,55118.23
T2,1982-03-01,66128.35
T2,1982-04-01,71334.26
T2,1982-05-01,75644.72
T2,1982-06-01,98380.43
T2,1982-07-01,127255.0
T2,1982-08-01,146442.7
T2,1982-09-01,121934.8
T2,1982-10-01,88537.55
T2,1982-11-01,71126.15
T2,1982-12-01,80209.51
T2,1983-01-01,72614.41
T2,1983-02-01,64114.47
T2,1983-03-01,70382.5
T2,1983-04-01,77124.54
T2,1983-05-01,85675.68
T2,1983-06-01,110282.1
T2,1983-07-01,135361.3
T2,1983-08-01,165238.9
T2,1983-09-01,139575.0
T2,1983-10-01,113179.8
T2,1983-11-01,92898.84
T2,1983-12-01,69113.4
T2,1984-01-01,74665.16
T2,1984-02-01,70439.33
T2,1984-03-01,72906.46
T2,1984-04-01,79968.96
T2,1984-05-01,114617.0
T2,1984-06-01,123295.7
T2,1984-07-01,158611.7
T2,1984-08-01,187202.4
T2,1984-09-01,145933.7
T2,1984-10-01,142136.0
T2,1984-11-01,104437.6
T2,1984-12-01,77719.54
T2,1985-01-01,87537.67
T2,1985-02-01,74318.65
T2,1985-03-01,78690.74
T2,1985-04-01,93133.8
T2,1985-05-01,107493.0
T2,1985-06-01,115749.5
T2,1985-07-01,170180.0
T2,1985-08-01,182643.7
T2,1985-09-01,150198.4
T2,1985-10-01,144580.1
