Year,Month,Region,Ankuenfte_Insgesamt,Ankuenfte_Ausland,Uebernachtungen_Insgesamt,Uebernachtungen_Ausland,Aufenthaltsdauer_Insgesamt,Aufenthaltsdauer_Ausland
2009,1,Thüringen,188918,9217,533735,21417,2.8,2.3
2009,2,Thüringen,189308,8610,570535,19296,3.0,2.2
2009,3,Thüringen,218277,12619,585906,27880,2.7,2.2
2009,4,Thüringen,249049,14821,690184,36434,2.8,2.5
2009,5,Thüringen,338123,21260,884863,47119,2.6,2.2
2009,6,Thüringen,330958,24196,850919,52150,2.6,2.2
2009,7,Thüringen,290064,28203,905159,73813,3.1,2.6
2009,8,Thüringen,314033,29475,896254,74859,2.9,2.5
2009,9,Thüringen,328711,24455,864176,56935,2.6,2.3
2009,10,Thüringen,313493,17315,868193,44445,2.8,2.6
2009,11,Thüringen,240240,11404,606882,25094,2.5,2.2
2009,12,Thüringen,233391,10522,629127,24212,2.7,2.3
2010,1,Thüringen,185429,8532,537016,19810,2.9,2.3
2010,2,Thüringen,192709,9086,578098,19210,3.0,2.1
2010,3,Thüringen,222288,12566,600272,28134,2.7,2.2
2010,4,Thüringen,264405,15802,704251,35013,2.7,2.2
2010,5,Thüringen,348826,23964,895774,50644,2.6,2.1
2010,6,Thüringen,335075,25112,855980,52116,2.6,2.1
2010,7,Thüringen,299812,35448,908659,85648,3.0,2.4
2010,8,Thüringen,324675,34015,892906,77011,2.8,2.3
2010,9,Thüringen,349777,26375,888481,54907,2.5,2.1
2010,10,Thüringen,326481,18674,880228,46272,2.7,2.5
2010,11,Thüringen,241209,12581,604771,30620,2.5,2.4
2010,12,Thüringen,226427,11561,599917,27723,2.6,2.4
2011,1,Thüringen,190781,9529,535434,23145,2.8,2.4
2011,2,Thüringen,194174,9765,552390,22256,2.8,2.3
2011,3,Thüringen,220369,12519,585799,28834,2.7,2.3
2011,4,Thüringen,268586,17170,716399,35945,2.7,2.1
2011,5,Thüringen,338259,21390,830351,46026,2.5,2.2
2011,6,Thüringen,356301,24768,914252,53686,2.6,2.2
2011,7,Thüringen,318288,32900,909561,79873,2.9,2.4
2011,8,Thüringen,325533,31951,928164,75818,2.9,2.4
2011,9,Thüringen,352335,24598,884539,54356,2.5,2.2
2011,10,Thüringen,338712,17831,905076,45753,2.7,2.6
2011,11,Thüringen,248340,13562,618857,33629,2.5,2.5
2011,12,Thüringen,236821,11476,621149,30460,2.6,2.7
2012,1,Thüringen,196226,9958,554180,26797,2.8,2.7
2012,2,Thüringen,206279,9742,604859,22399,2.9,2.3
